Source,Target
5281959998,1201254226656073
5281959998,181293762220802
5281959998,376799239137666
5281959998,1545690368981813
5281959998,161972884003991
5281959998,1002391179791389
5281959998,993603507345855
5281959998,689907071131476
5281959998,1453472561556218
5281959998,105307012882667
5281959998,306734542859279
5281959998,181548405298864
5281959998,149362828429131
5281959998,153491058028703
5281959998,176999952314969
5281959998,173455642668373
5281959998,340711315527
5281959998,123334484346296
5281959998,314077407675
5281959998,135183981456
5281959998,98934992430
5281959998,90726807687
5281959998,71998012017
5281959998,8254939527
5281959998,120372675203
5281959998,60870934988
5281959998,1606969219532748
5281959998,39772141339
5281959998,142271415829971
5281959998,5518834980
5281959998,9351577890
161972884003991,171739822858751
161972884003991,199933063689393
161972884003991,38234604057
161972884003991,5281959998
161972884003991,389573187852
1002391179791389,1545690368981813
1002391179791389,5281959998
1002391179791389,21557622350
993603507345855,153491058028703
993603507345855,5518834980
689907071131476,5281959998
1453472561556218,689907071131476
1453472561556218,176999952314969
1453472561556218,5281959998
105307012882667,181548405298864
105307012882667,29589997195
105307012882667,54971236771
105307012882667,117824668230022
105307012882667,29092950651
105307012882667,7720276612
105307012882667,17300420037
105307012882667,140998521533
105307012882667,232532740131296
105307012882667,205587662814254
105307012882667,22934684677
105307012882667,398017433603400
105307012882667,189527004401568
105307012882667,118107518236480
105307012882667,118399218208571
105307012882667,30037047899
105307012882667,79046291175
105307012882667,35695491869
105307012882667,23497828950
105307012882667,43331696829
105307012882667,37821612018
105307012882667,10867667494
105307012882667,22534272968
105307012882667,48206282842
105307012882667,55051907951
105307012882667,57270780163
105307012882667,114648515718
105307012882667,60342206410
105307012882667,19440638720
105307012882667,6115848166
105307012882667,108196582538810
105307012882667,110938085622842
105307012882667,5281959998
105307012882667,22297920245
105307012882667,256321580087
105307012882667,47849178041
105307012882667,10862798402
105307012882667,111553948865121
105307012882667,19356432310
105307012882667,22202087272
105307012882667,100864590107
105307012882667,96191425588
105307012882667,13259856990
306734542859279,1606969219532748
306734542859279,98934992430
306734542859279,90726807687
306734542859279,5281959998
181548405298864,130399966974966
181548405298864,113227068700680
181548405298864,8254939527
181548405298864,5281959998
149362828429131,9468524547
149362828429131,285584154813543
149362828429131,671284289559618
149362828429131,127217607307888
149362828429131,222122064589464
153491058028703,107506059384882
153491058028703,1569421590004076
153491058028703,789898667696109
153491058028703,111065157857
153491058028703,96060366743
153491058028703,468637585612
153491058028703,111376838888644
153491058028703,32864016288
153491058028703,109475162404985
153491058028703,103708343001773
153491058028703,201755557239
153491058028703,352709974289
153491058028703,233778186637566
153491058028703,249373750432
153491058028703,98498138269
153491058028703,153612958024275
153491058028703,439155026110104
153491058028703,194421780617356
153491058028703,29391460826
153491058028703,19711808736
153491058028703,10053803772
153491058028703,37940325366
153491058028703,1453472561556218
153491058028703,110668125657816
153491058028703,392423020864083
153491058028703,474377255996484
153491058028703,263655880367185
153491058028703,390326921005999
153491058028703,1469378733297896
153491058028703,287725274716637
153491058028703,186176348138047
153491058028703,47650308975
153491058028703,531497260269134
153491058028703,343613632440654
153491058028703,127766813923573
153491058028703,671564519568669
153491058028703,536188759734322
153491058028703,125021594181242
153491058028703,186291001567968
153491058028703,539319112818406
153491058028703,5281959998
153491058028703,142271415829971
153491058028703,96028256183
153491058028703,12770210203
153491058028703,168926019255
153491058028703,59790658571
153491058028703,62812941140
153491058028703,106272216103254
153491058028703,133148554015
153491058028703,17786732025
153491058028703,333730193484
153491058028703,39772141339
153491058028703,125533325520
176999952314969,152701354761418
176999952314969,232843448409
176999952314969,689907071131476
176999952314969,106140929416365
176999952314969,5281959998
176999952314969,123334484346296
176999952314969,314077407675
176999952314969,135183981456
176999952314969,90726807687
176999952314969,142271415829971
176999952314969,5518834980
176999952314969,9351577890
176999952314969,340711315527
176999952314969,8254939527
176999952314969,39772141339
176999952314969,98934992430
176999952314969,120372675203
176999952314969,173455642668373
176999952314969,1606969219532748
176999952314969,60870934988
176999952314969,67955079694
176999952314969,110092350139
176999952314969,211934390170
176999952314969,59161656653
173455642668373,5281959998
173455642668373,66459568171
173455642668373,176999952314969
340711315527,5281959998
340711315527,176999952314969
340711315527,242500958501
340711315527,77922840249
340711315527,7401700249
340711315527,216311481960
340711315527,101925766514531
340711315527,133236186703780
340711315527,7670069196
340711315527,138645369485522
340711315527,92320479952
340711315527,135183981456
340711315527,5518834980
340711315527,39772141339
340711315527,120372675203
340711315527,142271415829971
340711315527,123334484346296
340711315527,9351577890
340711315527,1606969219532748
123334484346296,5281959998
123334484346296,176999952314969
123334484346296,5518834980
123334484346296,39772141339
123334484346296,120372675203
123334484346296,142271415829971
123334484346296,340711315527
123334484346296,1606969219532748
314077407675,366800351160
314077407675,242149255886644
314077407675,147180306144
314077407675,68729729476
314077407675,24425672689
314077407675,40449345976
314077407675,118947824870542
314077407675,1453472561556218
314077407675,5887538795
314077407675,120364577581
314077407675,38723076079
314077407675,16534314739
314077407675,220350757447
314077407675,18586933445
314077407675,103921782727
314077407675,6193904573
314077407675,46940713250
314077407675,77732770566
314077407675,33796084659
314077407675,8544515249
314077407675,21557622350
314077407675,108189409203207
314077407675,107127577992
314077407675,198854705109
314077407675,9258148868
314077407675,10643211755
314077407675,271492186195710
314077407675,93919173707
314077407675,107964242558848
314077407675,928990470531081
314077407675,137747619606052
314077407675,1026583557366439
314077407675,234129303417
314077407675,55555550744
314077407675,203906229622591
314077407675,143782868990974
314077407675,286008498125004
314077407675,109589085916
314077407675,5281959998
314077407675,230891537029840
314077407675,1002391179791389
314077407675,104128669623294
314077407675,173455642668373
314077407675,109184362434201
314077407675,181548405298864
314077407675,689907071131476
314077407675,105307012882667
314077407675,153491058028703
314077407675,82295304916
314077407675,1545690368981813
314077407675,70531357576
314077407675,354862581256350
314077407675,446898408655326
314077407675,180384458088
314077407675,126582340034
314077407675,89398372453
314077407675,12301163417
314077407675,176999952314969
314077407675,340711315527
314077407675,123334484346296
314077407675,59161656653
314077407675,120372675203
314077407675,110092350139
314077407675,9351577890
314077407675,8254939527
314077407675,8646783651
314077407675,142271415829971
314077407675,90726807687
314077407675,1606969219532748
314077407675,5518834980
314077407675,98934992430
314077407675,135183981456
135183981456,91125347794
135183981456,706182586183668
135183981456,222271524135
135183981456,216319111729147
135183981456,30723248618
135183981456,57027780043
135183981456,103155091022
135183981456,50446138018
135183981456,112717032073158
135183981456,109397902411965
135183981456,111961278865814
135183981456,37469599796
135183981456,165713693455827
135183981456,112671502093586
135183981456,393354234051968
135183981456,206392696089343
135183981456,289001591174578
135183981456,128856866742
135183981456,742851662396348
135183981456,315821605205043
135183981456,16852391617
135183981456,158259371219
135183981456,117305311632655
135183981456,92239399265
135183981456,66194422560
135183981456,214940105520
135183981456,113304552013942
135183981456,6874658737
135183981456,111818435526969
135183981456,124763597543878
135183981456,121936554511046
135183981456,9676815399
135183981456,122325156660
135183981456,227407353941894
135183981456,21181017537
135183981456,22426379899
135183981456,131702253544780
135183981456,97154901587
135183981456,48704475279
135183981456,252006307122
135183981456,93163776423
135183981456,269378069861542
135183981456,126247508668
135183981456,204720826215062
135183981456,335762859770184
135183981456,138957966114757
135183981456,151524404901136
135183981456,111786992243065
135183981456,146409052038984
135183981456,172134212818708
135183981456,240663472658729
135183981456,205300392847183
135183981456,397841230989
135183981456,123963360928
135183981456,295620888015
135183981456,26120766682
135183981456,62669973528
135183981456,77134191771
135183981456,60567011104
135183981456,10150114687695646
135183981456,68719056521
135183981456,187311067989890
135183981456,17471704455
135183981456,233190586705025
135183981456,206621069362038
135183981456,402223743713
135183981456,294885073912733
135183981456,16958927346
135183981456,387990201279405
135183981456,56791664427
135183981456,312031042187
135183981456,75834228712
135183981456,133744470102842
135183981456,250916851682656
135183981456,129390320453298
135183981456,52402386922
135183981456,207288259311834
135183981456,194841077263205
135183981456,116182761738456
135183981456,282287321783604
135183981456,238748516150130
135183981456,112855318670
135183981456,336855383111504
135183981456,123871694347668
135183981456,170029273013714
135183981456,270317923065675
135183981456,502549969775939
135183981456,375611902544600
135183981456,284787881652900
